Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-10 00:00:00-04:00,9.779999732971191,9.850000381469727,9.779999732971191,9.850000381469727,1300,0,0
2021-05-11 00:00:00-04:00,9.84000015258789,9.850000381469727,9.835000038146973,9.84000015258789,50800,0,0
2021-05-12 00:00:00-04:00,9.84000015258789,9.880000114440918,9.84000015258789,9.880000114440918,107400,0,0
2021-05-13 00:00:00-04:00,9.829999923706055,9.880000114440918,9.829999923706055,9.829999923706055,31600,0,0
2021-05-14 00:00:00-04:00,9.829999923706055,9.901000022888184,9.829999923706055,9.831999778747559,15200,0,0
2021-05-17 00:00:00-04:00,9.84000015258789,9.850000381469727,9.729999542236328,9.779999732971191,65600,0,0
2021-05-18 00:00:00-04:00,9.75,9.829999923706055,9.75,9.829999923706055,9500,0,0
2021-05-19 00:00:00-04:00,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,300,0,0
2021-05-20 00:00:00-04:00,9.8100004196167,9.812000274658203,9.8100004196167,9.8100004196167,60000,0,0
2021-05-21 00:00:00-04:00,9.829999923706055,9.84000015258789,9.819999694824219,9.819999694824219,82200,0,0
2021-05-24 00:00:00-04:00,9.819999694824219,9.821999549865723,9.819999694824219,9.819999694824219,22900,0,0
2021-05-25 00:00:00-04:00,9.829999923706055,9.84000015258789,9.829999923706055,9.84000015258789,100300,0,0
2021-05-26 00:00:00-04:00,9.859999656677246,9.859999656677246,9.829999923706055,9.84000015258789,128800,0,0
2021-05-27 00:00:00-04:00,9.850000381469727,9.859999656677246,9.850000381469727,9.850000381469727,40800,0,0
2021-05-28 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,215800,0,0
2021-06-01 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,500,0,0
2021-06-02 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,270100,0,0
2021-06-03 00:00:00-04:00,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,16500,0,0
2021-06-04 00:00:00-04:00,9.850000381469727,9.859999656677246,9.850000381469727,9.859999656677246,23300,0,0
2021-06-07 00:00:00-04:00,9.859999656677246,9.880000114440918,9.859999656677246,9.869999885559082,19100,0,0
2021-06-08 00:00:00-04:00,9.880000114440918,9.890000343322754,9.880000114440918,9.890000343322754,240400,0,0
2021-06-09 00:00:00-04:00,9.880000114440918,9.920000076293945,9.880000114440918,9.890000343322754,635300,0,0
2021-06-10 00:00:00-04:00,9.850000381469727,9.899999618530273,9.850000381469727,9.899999618530273,218400,0,0
2021-06-11 00:00:00-04:00,9.899999618530273,9.920000076293945,9.899999618530273,9.90999984741211,76300,0,0
2021-06-14 00:00:00-04:00,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,108300,0,0
